INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Joseph Castillo PhD', 'phd_joseph@example.com', '9476123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Lauren Hawkins', 'hawkins_lauren@example.com', '9994123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Crystal Rojas', 'rojas_crystal@example.com', '9546123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Nichole Richardson', 'richardson_nichole@example.com', '9106123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Chelsea Garcia', 'garcia_chelsea@example.com', '9159123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Tracy Ruiz', 'ruiz_tracy@example.com', '9398123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Susan Ball', 'ball_susan@example.com', '9169123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Richard Hayes', 'hayes_richard@example.com', '9739123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Jessica Buckley', 'buckley_jessica@example.com', '9938123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Cynthia Adams', 'adams_cynthia@example.com', '9994123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Amanda Colon', 'colon_amanda@example.com', '9179123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Cheryl Gutierrez', 'gutierrez_cheryl@example.com', '9118123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Daniel Pace', 'pace_daniel@example.com', '9933123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Amanda Barnes', 'barnes_amanda@example.com', '9537123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Derek Brown', 'brown_derek@example.com', '9755123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Joan Bates', 'bates_joan@example.com', '9536123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Paul Carroll', 'carroll_paul@example.com', '9121123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Anthony Herrera', 'herrera_anthony@example.com', '9573123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Scott Underwood', 'underwood_scott@example.com', '9636123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Mrs. Valerie Nichols', 'nichols_mrs.@example.com', '9212123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Bridget Larson', 'larson_bridget@example.com', '9512123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Jeremiah Lawrence', 'lawrence_jeremiah@example.com', '9776123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Tamara Vasquez', 'vasquez_tamara@example.com', '9320123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Tina Reed', 'reed_tina@example.com', '9582123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Christine Taylor', 'taylor_christine@example.com', '9322123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Emily Patterson PhD', 'phd_emily@example.com', '9358123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Gabriela Pace', 'pace_gabriela@example.com', '9281123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Abigail Garza', 'garza_abigail@example.com', '9583123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Dorothy Harris', 'harris_dorothy@example.com', '9676123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'David Martin', 'martin_david@example.com', '9241123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Leslie Winters', 'winters_leslie@example.com', '9408123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Brian Walton', 'walton_brian@example.com', '9948123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Stephanie Hammond', 'hammond_stephanie@example.com', '9453123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Kathryn Woodard', 'woodard_kathryn@example.com', '9417123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Marilyn Zimmerman', 'zimmerman_marilyn@example.com', '9623123456');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, EMAIL, MOBILE_NO) VALUES (CUSTOMER_ID_SEQ.NEXTVAL, 'Matthew Anderson DDS', 'dds_matthew@example.com', '9107123456');
